Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05032018,466397176,0001751
Trade Date <05-MAR-2018>,Settlement Type <N>,Settlement No <2018043>,Settlement Date <07-MAR-2018>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,58492,40706,69.59
20,2,3IINFOTECH,EQ,3244446,1819378,56.08
20,3,3MINDIA,EQ,2602,1537,59.07
20,4,63MOONS,EQ,128508,66223,51.53
20,5,8KMILES,EQ,103873,32892,31.67
20,6,A2ZINFRA,EQ,465250,270277,58.09
20,7,AARTIDRUGS,EQ,3258,2473,75.91
20,8,AARTIIND,EQ,22331,13227,59.23
20,9,AARVEEDEN,EQ,15891,11424,71.89
20,10,ABAN,EQ,454177,131925,29.05
20,11,ABB,EQ,38820,19099,49.20
20,12,ABBOTINDIA,EQ,2338,1717,73.44
20,13,ABCAPITAL,EQ,3229776,2310792,71.55
20,14,ABFRL,EQ,404338,286687,70.90
20,15,ACC,EQ,190051,68391,35.99
20,16,ACCELYA,EQ,2792,1806,64.68
20,17,ACCORD,SM,20000,18000,90.00
20,18,ACE,EQ,526797,203338,38.60
20,19,ADANIENT,EQ,3891702,568538,14.61
20,20,ADANIPORTS,EQ,3665892,1943499,53.02
20,21,ADANIPOWER,EQ,6671043,1007421,15.10
20,22,ADANITRANS,EQ,757008,145943,19.28
20,23,ADFFOODS,EQ,107020,20063,18.75
20,24,ADHUNIK,EQ,76004,75701,99.60
20,25,ADHUNIKIND,EQ,56347,13017,23.10
20,26,ADLABS,EQ,73898,60324,81.63
20,27,ADORWELD,EQ,11985,6922,57.76
20,28,ADSL,EQ,15109,11991,79.36
20,29,ADVANIHOTR,EQ,13424,11252,83.82
20,30,ADVENZYMES,EQ,93984,28092,29.89
20,31,AEGISCHEM,EQ,152609,96921,63.51
20,32,AFL,EQ,10903,6530,59.89
20,33,AGCNET,EQ,4398,4398,100.00
20,34,AGLSL,EQ,10673,10311,96.61
20,35,AGRITECH,EQ,61143,30181,49.36
20,36,AGROPHOS,SM,30000,6000,20.00
20,37,AHLUCONT,EQ,67156,61095,90.97
20,38,AHLWEST,EQ,172,156,90.70
20,39,AIAENG,EQ,6256,3787,60.53
20,40,AIFL,EQ,435217,65953,15.15
20,41,AIRAN,SM,5000,5000,100.00
20,42,AIROLAM,SM,9000,9000,100.00
20,43,AISL,SM,10800,8400,77.78
20,44,AJANTPHARM,EQ,205261,26765,13.04
20,45,AJMERA,EQ,74560,33550,45.00
20,46,AJOONI,SM,8000,8000,100.00
20,47,AKASH,SM,3000,0,0.00
20,48,AKSHARCHEM,EQ,6754,4653,68.89
20,49,AKSHOPTFBR,EQ,774838,533042,68.79
20,50,AKZOINDIA,EQ,2778,1361,48.99
20,51,ALANKIT,EQ,215337,111552,51.80
20,52,ALBK,EQ,2858735,364744,12.76
20,53,ALEMBICLTD,EQ,292444,149247,51.03
20,54,ALICON,EQ,1089,925,84.94
20,55,ALKALI,EQ,11926,7765,65.11
20,56,ALKEM,EQ,33358,27198,81.53
20,57,ALKYLAMINE,EQ,2391,2156,90.17
20,58,ALLCARGO,EQ,289292,138652,47.93
20,59,ALLSEC,EQ,5244,4590,87.53
20,60,ALMONDZ,EQ,8144,6523,80.10
20,61,ALOKTEXT,EQ,1963235,1154727,58.82
20,62,ALPA,EQ,26673,19220,72.06
20,63,ALPHAGEO,EQ,13277,8976,67.61
20,64,ALPSINDUS,EQ,38597,36096,93.52
20,65,AMARAJABAT,EQ,281391,72819,25.88
20,66,AMBER,EQ,155776,119506,76.72
20,67,AMBIKCO,EQ,5217,3730,71.50
20,68,AMBUJACEM,EQ,2291003,954780,41.68
20,69,AMDIND,EQ,1051864,202418,19.24
20,70,AMJLAND,EQ,10906,8967,82.22
20,71,AMRUTANJAN,EQ,3233,2099,64.92
20,72,AMTEKAUTO,EQ,305969,196288,64.15
20,73,ANANTRAJ,EQ,819510,406688,49.63
20,74,ANDHRABANK,EQ,2195974,547639,24.94
20,75,ANDHRACEMT,EQ,82959,58934,71.04
20,76,ANDHRSUGAR,EQ,12079,5672,46.96
20,77,ANGIND,EQ,4939,4685,94.86
20,78,ANIKINDS,EQ,17105,10163,59.42
20,79,ANSALAPI,EQ,78462,49639,63.27
20,80,ANSALHSG,EQ,44595,37075,83.14
20,81,APARINDS,EQ,16756,12520,74.72
20,82,APCL,EQ,2362,1248,52.84
20,83,APCOTEXIND,EQ,18738,10564,56.38
20,84,APEX,EQ,121862,45860,37.63
20,85,APLAPOLLO,EQ,16162,11049,68.36
20,86,APLLTD,EQ,128934,106022,82.23
20,87,APOLLO,EQ,76580,29770,38.87
20,88,APOLLOHOSP,EQ,169347,37183,21.96
20,89,APOLLOTYRE,EQ,3163425,1167186,36.90
20,90,APOLSINHOT,EQ,614,497,80.94
20,91,APTECHT,EQ,335543,73628,21.94
20,92,ARCHIDPLY,EQ,23657,16423,69.42
20,93,ARCHIES,EQ,78495,42676,54.37
20,94,ARCOTECH,EQ,262758,159691,60.77
20,95,ARIES,EQ,40196,29407,73.16
20,96,ARIHANTSUP,EQ,144496,45019,31.16
20,97,ARMANFIN,EQ,37198,24644,66.25
20,98,AROGRANITE,EQ,29330,17002,57.97
20,99,ARROWGREEN,EQ,8112,5845,72.05
20,100,ARROWTEX,EQ,7926,6623,83.56
20,101,ARSHIYA,EQ,33005,15603,47.27
20,102,ARVEE,SM,54000,50000,92.59
20,103,ARVIND,EQ,1186439,103106,8.69
20,104,ARVSMART,EQ,8421,4355,51.72
20,105,ASAHIINDIA,EQ,41155,23090,56.10
20,106,ASAHISONG,EQ,3590,2319,64.60
20,107,ASAL,EQ,5435,4757,87.53
20,108,ASHAPURMIN,EQ,90371,58335,64.55
20,109,ASHIANA,EQ,47380,34103,71.98
20,110,ASHIMASYN,EQ,177718,135329,76.15
20,111,ASHOKA,EQ,152879,85918,56.20
20,112,ASHOKLEY,EQ,14686149,5506265,37.49
20,113,ASIANPAINT,EQ,529677,315454,59.56
20,114,ASIANTILES,EQ,23251,15056,64.75
20,115,ASPINWALL,EQ,209,199,95.22
20,116,ASSAMCO,EQ,212025,174877,82.48
20,117,ASTEC,EQ,9434,5023,53.24
20,118,ASTERDM,EQ,353807,218287,61.70
20,119,ASTRAL,EQ,68276,28135,41.21
20,120,ASTRAMICRO,EQ,206744,100103,48.42
20,121,ASTRAZEN,EQ,5690,2071,36.40
20,122,ASTRON,EQ,198149,85488,43.14
20,123,ATFL,EQ,1775,1348,75.94
20,124,ATLANTA,EQ,259986,124557,47.91
20,125,ATUL,EQ,8190,6366,77.73
20,126,ATULAUTO,EQ,11291,4566,40.44
20,127,AUBANK,EQ,37838,19875,52.53
20,128,AURDIS,SM,2000,2000,100.00
20,129,AURIONPRO,EQ,18902,13569,71.79
20,130,AUROPHARMA,EQ,8672423,2154676,24.85
20,131,AUSOMENT,EQ,18359,8615,46.93
20,132,AUTOAXLES,EQ,16934,9744,57.54
20,133,AUTOIND,EQ,26422,11025,41.73
20,134,AUTOLITIND,EQ,12138,7251,59.74
20,135,AVADHSUGAR,EQ,43759,33828,77.31
20,136,AVANTIFEED,EQ,125184,87405,69.82
20,137,AVTNPL,EQ,47859,31482,65.78
20,138,AXISBANK,EQ,6766199,3828015,56.58
20,139,AXISCADES,EQ,36602,19335,52.82
20,140,AXISGOLD,EQ,451,348,77.16
20,141,AXISNIFTY,EQ,15,15,100.00
20,142,AYMSYNTEX,EQ,21799,18210,83.54
20,143,BAFNAPHARM,EQ,13258,8900,67.13
20,144,BAGFILMS,EQ,159139,121802,76.54
20,145,BAJAJ-AUTO,EQ,287300,121543,42.31
20,146,BAJAJCORP,EQ,7091,4487,63.28
20,147,BAJAJELEC,EQ,459396,153375,33.39
20,148,BAJAJFINSV,EQ,114133,65051,57.00
20,149,BAJAJHIND,EQ,1631357,1103892,67.67
20,150,BAJAJHLDNG,EQ,18141,15097,83.22
20,151,BAJFINANCE,EQ,743779,379212,50.98
20,152,BALAJITELE,EQ,62314,30703,49.27
20,153,BALAMINES,EQ,23659,8147,34.44
20,154,BALKRISHNA,EQ,4844,3867,79.83
20,155,BALKRISIND,EQ,183691,92029,50.10
20,156,BALLARPUR,EQ,582743,234714,40.28
20,157,BALMLAWRIE,EQ,44733,26713,59.72
20,158,BALPHARMA,EQ,19986,12672,63.40
20,159,BALRAMCHIN,EQ,5932328,1692617,28.53
20,160,BANARBEADS,EQ,831,633,76.17
20,161,BANARISUG,EQ,427,405,94.85
20,162,BANCOINDIA,EQ,26328,15820,60.09
20,163,BANG,EQ,2831,1680,59.34
20,164,BANKA,SM,9600,9600,100.00
20,165,BANKBARODA,EQ,10501381,1871474,17.82
20,166,BANKBEES,EQ,4777,3065,64.16
20,167,BANKINDIA,EQ,8339823,1997532,23.95
20,168,BANSAL,SM,13000,6000,46.15
20,169,BANSWRAS,EQ,2459,2095,85.20
20,170,BARTRONICS,EQ,45413,23840,52.50
20,171,BASF,EQ,20310,15197,74.83
20,172,BASML,EQ,2651,1229,46.36
20,173,BATAINDIA,EQ,255364,88416,34.62
20,174,BAYERCROP,EQ,31257,27531,88.08
20,175,BBL,EQ,50081,13284,26.53
20,176,BBTC,EQ,138836,67165,48.38
20,177,BCONCEPTS,SM,54000,54000,100.00
20,178,BEARDSELL,EQ,1606,1169,72.79
20,179,BEDMUTHA,EQ,2861,1860,65.01
20,180,BEL,EQ,3062570,1214411,39.65
20,181,BEML,EQ,1854923,159368,8.59
20,182,BEPL,EQ,435163,218413,50.19
20,183,BERGEPAINT,EQ,379022,149727,39.50
20,184,BETA,SM,3200,3200,100.00
20,185,BFINVEST,EQ,50738,17729,34.94
20,186,BFUTILITIE,EQ,201274,48625,24.16
20,187,BGRENERGY,EQ,42297,21136,49.97
20,188,BHAGERIA,EQ,14116,8238,58.36
20,189,BHAGYANGR,EQ,64987,35271,54.27
20,190,BHAGYAPROP,EQ,743,586,78.87
20,191,BHANDARI,EQ,75728,50111,66.17
20,192,BHARATFIN,EQ,451820,224306,49.64
20,193,BHARATFORG,EQ,1443138,614855,42.61
20,194,BHARATGEAR,EQ,12673,8904,70.26
20,195,BHARATIWIN,EQ,411786,267528,64.97
20,196,BHARATRAS,EQ,1103,702,63.64
20,197,BHARATWIRE,EQ,27186,14568,53.59
20,198,BHARTIARTL,EQ,3482148,2012157,57.78
20,199,BHEL,EQ,4722003,1033004,21.88
20,200,BHUSANSTL,EQ,3958189,1664821,42.06
20,201,BIGBLOC,EQ,722053,122020,16.90
20,202,BIL,EQ,8643,3938,45.56
20,203,BILENERGY,EQ,29979,29979,100.00
20,204,BILPOWER,EQ,1032,1032,100.00
20,205,BINANIIND,EQ,71507,40783,57.03
20,206,BINDALAGRO,EQ,31870,23876,74.92
20,207,BIOCON,EQ,1603339,244902,15.27
20,208,BIRLACABLE,EQ,29727,25191,84.74
20,209,BIRLACORPN,EQ,13081,8417,64.35
20,210,BIRLAMONEY,EQ,48369,26957,55.73
20,211,BKMINDST,EQ,3063,2731,89.16
20,212,BLBLIMITED,EQ,15939,12662,79.44
20,213,BLISSGVS,EQ,78420,18824,24.00
20,214,BLKASHYAP,EQ,680902,518870,76.20
20,215,BLS,EQ,359400,233021,64.84
20,216,BLUEBLENDS,EQ,4102,3849,93.83
20,217,BLUEDART,EQ,1728,986,57.06
20,218,BLUEDART,N3,80,30,37.50
20,219,BLUESTARCO,EQ,152793,56273,36.83
20,220,BODALCHEM,EQ,126338,78111,61.83
20,221,BOHRA,SM,76000,76000,100.00
20,222,BOMDYEING,EQ,4218364,963399,22.84
20,223,BOSCHLTD,EQ,13019,6283,48.26
20,224,BPCL,EQ,2843005,1904807,67.00
20,225,BPL,EQ,177855,74797,42.06
20,226,BRFL,EQ,58250,36548,62.74
20,227,BRIGADE,EQ,17955,10975,61.13
20,228,BRITANNIA,EQ,78734,52612,66.82
20,229,BRNL,EQ,5280,2910,55.11
20,230,BROOKS,EQ,32047,18680,58.29
20,231,BSE,EQ,1526113,1491651,97.74
20,232,BSELINFRA,EQ,57150,41404,72.45
20,233,BSL,EQ,12100,8920,73.72
20,234,BSLGOLDETF,EQ,24,13,54.17
20,235,BSLNIFTY,EQ,362,232,64.09
20,236,BURNPUR,EQ,206475,144205,69.84
20,237,BUTTERFLY,EQ,11107,5433,48.92
20,238,BYKE,EQ,64416,42360,65.76
20,239,CADILAHC,EQ,952536,578565,60.74
20,240,CADSYS,SM,6000,4000,66.67
20,241,CALSOFT,EQ,15059,13588,90.23
20,242,CAMLINFINE,EQ,950343,261045,27.47
20,243,CANBK,EQ,5628361,892870,15.86
20,244,CANDC,EQ,62919,53310,84.73
20,245,CANFINHOME,EQ,1987847,423924,21.33
20,246,CANTABIL,EQ,59079,34374,58.18
20,247,CAPACITE,EQ,66562,34529,51.87
20,248,CAPF,EQ,698130,294049,42.12
20,249,CAPLIPOINT,EQ,111768,62092,55.55
20,250,CAPTRUST,EQ,7453,6078,81.55
20,251,CARBORUNIV,EQ,66440,45963,69.18
20,252,CAREERP,EQ,28896,22622,78.29
20,253,CARERATING,EQ,18675,12997,69.60
20,254,CASTEXTECH,EQ,1606870,1051569,65.44
20,255,CASTROLIND,EQ,2793744,2251673,80.60
20,256,CCCL,EQ,590653,521963,88.37
20,257,CCHHL,EQ,205091,191461,93.35
20,258,CCL,EQ,266911,240584,90.14
20,259,CDSL,EQ,179487,106615,59.40
20,260,CEATLTD,EQ,502585,27731,5.52
20,261,CEBBCO,EQ,16171,15000,92.76
20,262,CELEBRITY,EQ,38212,27070,70.84
20,263,CELESTIAL,EQ,47883,32511,67.90
20,264,CENTENKA,EQ,9170,6719,73.27
20,265,CENTEXT,EQ,99479,75285,75.68
20,266,CENTRALBK,EQ,154106,78388,50.87
20,267,CENTUM,EQ,2169,1296,59.75
20,268,CENTURYPLY,EQ,93399,45211,48.41
20,269,CENTURYTEX,EQ,597752,174473,29.19
20,270,CERA,EQ,6089,4748,77.98
20,271,CEREBRAINT,EQ,522301,227693,43.59
20,272,CESC,EQ,296533,148123,49.95
20,273,CGCL,EQ,20842,16471,79.03
20,274,CGPOWER,EQ,2817040,1259336,44.70
20,275,CHAMBLFERT,EQ,1013626,511315,50.44
20,276,CHENNPETRO,EQ,342395,57981,16.93
20,277,CHOLAFIN,EQ,540458,337568,62.46
20,278,CHROMATIC,EQ,56435,49735,88.13
20,279,CIMMCO,EQ,8030,6470,80.57
20,280,CINELINE,EQ,14417,11548,80.10
20,281,CINEVISTA,EQ,17027,15822,92.92
20,282,CIPLA,EQ,1179725,401233,34.01
20,283,CKPPRODUCT,SM,30000,30000,100.00
